,,
英文关键词,成品效果样板图,备注
,,
"A ultra-realistic CG rendering of Ancient Japan,lake,serene landscape, cherry blossom forest,by Ivan Aivazovsky,in volumetric lighting, Trending on artstation --ar 9:16 ",,
" Ancient ship,Many rose,A few roses,clouds, ultra wide shot, atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artstation landscape vista photography by Carr Clifton & Galen Rowell, 16K resolution, Landscape veduta photo by Dustin Lefevre & tdraw, 8k resolution, detailed landscape painting by Ivan Shishkin, DeviantArt, Flickr, rendered in Enscape, Miyazaki, Nausicaa Ghibli, Breath of The Wild, 4k detailed post processing, artstation, rendering by octane, unreal engine --ar 9:16 --iw 1",,
"Garden in factory,Many rose,A few roses,clouds, ultra wide shot, atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artstation landscape vista photography by Carr Clifton & Galen Rowell, 16K resolution, Landscape veduta photo by Dustin Lefevre & tdraw, 8k resolution, detailed landscape painting by Ivan Shishkin, DeviantArt, Flickr, rendered in Enscape, Miyazaki, Nausicaa Ghibli, Breath of The Wild, 4k detailed post processing, artstation, rendering by octane, unreal engine --ar 9:16",,
"Garden in factory,Tall factory,Many red rose,A few roses,clouds, ultra wide shot, atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artstation landscape vista photography by Carr Clifton & Galen Rowell, 16K resolution, Landscape veduta photo by Dustin Lefevre & tdraw, 8k resolution, detailed landscape painting by Ivan Shishkin, DeviantArt, Flickr, rendered in Enscape, Miyazaki, Nausicaa Ghibli, Breath of The Wild, 4k detailed post processing, artstation, rendering by octane, unreal engine --ar 9:16 --iw 10
",,
"Garden castle,Many flowers,A few roses,clouds, dramatic clouds above, pink,dreamy ultra wide shot,  atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artstation landscape vista photography by Carr Clifton & Galen Rowell, 16K resolution, Landscape veduta photo by Dustin Lefevre & tdraw, 8k resolution, detailed landscape painting by Ivan Shishkin, DeviantArt, Flickr, rendered in Enscape, Miyazaki, Nausicaa Ghibli, Breath of The Wild, 4k detailed post processing, artstation, rendering by octane, unreal engine --iw 10 --ar 9:16 --no blue",,
"Super wide angle view, red rose icebulerosegarden + beautiful paintings in the factory area, tall factory with many iron frames, iron nets, factory lighting, Greg ratkowski, night, a little red rose on the iron frame, art station trend, low light, smoke, steel support, volume lighting, UE4, ZBrush, marmoset Kit HD --ar 9:16 --iw 10",,
"Tall crystal magic church garden, Towering rose bushes, Red Roses, Surrounded by a field of roses, Rose bushes, Scattered Roses, Snow, Rose Trail,Tree Cloud, Volumetric lighting, Volumetric light, Lights, Ultra wide angle lens, 8K, DeviantArt, Epic composition, Epic composition, Film version, Octane rendering, 16K resolution, 8K resolution, detailed landscape painting by Ivan Shishkin, Nausicaa Ghibli, Breath of The Wild, Alena Aenami，HD --ar 9:16 --iw 10",,
"A ultra-realistic CG rendering of Ancient China,There is a stream, jiangnan ancient buildings on besides of thet stream,in the evening,Maple with milky leaves tree,snow scene， a moon in the sky，HD --ar 9:16 --iw 10",,
"Garden castle,Many flowers,A few roses,clouds, dramatic clouds above, pink,dreamy ultra wide shot, atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artstation landscape vista photography by Carr Clifton & Galen Rowell, 16K resolution, Landscape veduta photo by Dustin Lefevre & tdraw, 8k resolution, detailed landscape painting by Ivan Shishkin, DeviantArt, Flickr, rendered in Enscape, Miyazaki, Nausicaa Ghibli, Breath of The Wild, 4k detailed post processing, artstation, rendering by octane, unreal engine，HD --ar 9:16 --iw 10",,
