作品关键词,,,,,,
"序
号",图集名称,中文关键词,英文关键词,成品效果样板图,,备注
,,,,,,
1,玫瑰墓地,一个美丽的红色玫瑰花园，星夜，宁静的景观，沉默，由beeple，杉本博司，艺术站一个伟大的墓地和玫瑰，星夜，宁静的景观，沉默，由beeple，杉本博司，艺术站,"A beautiful red rose garden, starry night，serene landscape, silcence, by beeple，Hiroshi Sugimoto，artstation，A great cemetery and rose，starry night，serene landscape, silcence, by beeple，Hiroshi Sugimoto，artstation",,,
2,"冬天
海上红梅",一幅美丽的画，广角，在海面上，多云，下雪，红梅，早晨，冬天，童话，超写实的画风，杉本博，Ayu，艺术站,"A beautiful painting,Wide angle,On sea surface,Cloudy,Snowfall,Red plum blossoms,Morning,Winter,Fairy tale,Super realistic painting style,Hiroshi sugimoto,Ayu,artstation",,,
3,,Zeen Chin超现实主义风格一幅美丽的绘画，描绘了星空、层层巨浪、深蓝色海水、不同大小的粉色玫瑰、浪漫、梦幻、月光、托马斯·金卡德、超细节、插图、4k、艺术站趋势、上图+超广角、格雷格·鲁特科夫斯基、艺术站潮流。,"Zeen Chin Hyperrealistic style A beautiful painting of starry sky, layer upon layer of huge waves, deep blue water, pink roses of different sizes, romantic, dreamlike, moonlight, Thomas Kinkade, ultradetailed, illustration, 4k， trends on Artstation, above+super wide angle, Greg Rutkowski, trends on Artstation.",,,
4,,一幅史诗般的CG哑光画，开阔的视野，淡绿色的云朵，迪斯尼城堡，云朵上开满了鲜花，几滴水珠从云朵上落下，淡绿色玫瑰的海洋，由Zeen Chin创作，高清图片，虚幻引擎，在artstation上流行,"An epic CG matte painting , expansive view , pale green clouds,Disney Castle with a garden full of flowers on the clouds , several waterfulls drops from the clouds , A sea of pale green roses , by Zeen Chin , high - definition picture , Unreal Engine , Trending on artstation",,,
5,,一个美丽的史诗cg的史诗壮丽的奇观，命运的巨大钥匙，失落的土地，周围的废墟，Makoto Shinkai，幻想，高清，超宽，WLOP，童话风格，灯光效果，虚幻引擎，壮丽的场景，虚拟引擎，明亮，壮丽和非常广阔，统一引擎，光线追踪，现实纹理材料。,"A beautiful epic cg of an Epic magnificent spectacle，A gigantic key of destiny, the lost land, the ruined landscape all around, Makoto Shinkai, fantasy, HD, ultra-wide, WLOP, fairy tale style, lighting effects, Unreal Engine，Magnificent scenes，virtual engines，bright，Magnificent and very vast，Unity engine，ray tracing，Realistic texture materials.",,,
6,,"
史诗cg哑光画，微距拍摄，在山上，桥，桥，金叶，火花，晚上，冬天，高清晰度图片，哑光绘画，在玛雅渲染，托马斯·金卡德，詹姆斯·格尼","An epic cg matte painting,Macro shot,On mountains,Bridge,Bridge,Gold leaves,Fire flowers,Evening,Winter,High-definition picture,Matte painting,Rendered in maya,Thomas kinkade,James gurney,artstation",,,
7,,"
一幅真实的摄影风景画，具有无与伦比的真实感、开阔的视野、海面、星星、阳光、冬天、灯光效果、真实感、丹尼斯·萨拉金","A real photographic landscape painting with incomparable reality,Expansive view,On sea surface,Stars,Sunshine,Winter,Light effect,Realistic,Denis sarazhin,artstation",,,
8,,"
美丽的绘画，广角，海面，多云，降雪，红色梅花，早晨，冬天，童话，超现实主义绘画风格，杉本宏，阿玉","A beautiful painting,Wide angle,On sea surface,Cloudy,Snowfall,Red plum blossoms,Morning,Winter,Fairy tale,Super realistic painting style,Hiroshi sugimoto,Ayu,artstation",,,
9,冬天的城堡湖景,冬天，晨光，远处的湖景，城堡，云彩，阳光，童话，灯光效果，幻想，托马斯·金凯德，虚幻引擎，超写实风格，4K，超广角，艺术站,"Winter, morning light, distant view of the lake, castle, clouds, sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station",,,
10,清晨城堡,"远处金色的城堡，雾气缭绕，金色色调，Anton Fadeev
","Golden castle in the distance, misty, golden hues, Anton Fadeev",,,
11,"海面星空
山水画",一个真实的摄影山水画与无与伦比的现实，广阔的视野，在海面上，星星，阳光，冬天，光效果，现实主义，丹尼斯萨拉欣，艺术站,"A real photographic landscape painting with incomparable reality,Expansive view,On sea surface,Stars,Sunshine,Winter,Light effect,Realistic,Denis sarazhin,artstation",,,
12,"城堡
海浪
山水画",一幅真实的摄影山水画，无可比拟的现实，广阔的视野，中国龙，巨大的波浪，星星，宁静的风景，城堡，夜晚，童话，体积照明，Zbrush中央，Lee madgwick，艺术站,"A real photographic landscape painting with incomparable reality,An expansive view of,Chinese dragon,Huge waves,Stars,Serene landscape,Castle,Evening,Fairy tale,Volumetric lighting,Zbrush central,Lee madgwick ,artstation",,,
13,桥、金叶、火花,"史诗cg哑光绘画，微距离拍摄，在山上，桥，桥，金叶，火花，晚上，冬天，高清图片，哑光绘画，maya渲染，Thomas kinkade,James gurney，艺术站","An epic cg matte painting,Macro shot,On mountains,Bridge,Bridge,Gold leaves,Fire flowers,Evening,Winter,High-definition picture,Matte painting,Rendered in maya,Thomas kinkade,James gurney,artstation",,,
14,降雪的梅花城堡,"史诗cg哑光绘画，尽你所能，在岛屿，城堡，红色的梅花，降雪，蝴蝶，明亮的风格，夏天，在cinema4d渲染，James gurney,Krenz cushart，艺术站","An epic cg matte painting,As far as eye can see,In island,Castle,Red plum blossoms,Snowfall,Butterfly,Bright style,Summer,Rendered in cinema4d,James gurney,Krenz cushart,artstation",,,
15,海底蘑菇,"一幅美丽的画，尽你所能，在海底，蘑菇，月亮，傍晚，空地，在cinema4d中渲染，John howe,Thomas kinkade,artstation","A beautiful painting,As far as eye can see,At the bottom of the sea,Mushrooms,Moon,Evening,Clearing,Rendered in cinema4d,John howe,Thomas kinkade,artstation",,,
16,"海上
彩色玫瑰云",在夏天，蓝灰色的云，彩色的玫瑰盛开在天空和海洋，cgsociety，变化，由数字艺术，超宽镜头，在艺术站渲染。,"expansive view,an oil painting of In summer,  bluish-gray clouds, Colorful roses bloom in the sky and sea,cgsociety，vary，by digital art，ultrawide shot， rendered in artstation.",,,
17,冬天的玫瑰花园,一幅美丽的画，冬天，晨光，远处的湖，大城堡，粉红色的云，红色的玫瑰花园，阳光，童话，灯光效果，幻想，托马斯·金凯德，虚幻引擎，超写实风格，4K，超广角，艺术站，梦幻，浪漫,"A beautiful painting of Winter, morning light, distant view of the lake, large castle, pink clouds, red roses garden, sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station, dreamlike, romantic",,,
18,"樱花湖
烟花夜景","烟花，夜灯，拱桥，山谷中的中国建筑，雨，淡蓝色的天空，赛博朋克灯光效果，樱花，湖泊，云，WLOP，童话，梦想，广阔的视野，由Greg Rutkowski和James Gurney,vary,4K, artstation.","fireworks, night light,arch bridge,Chinese buildings in vally, rain，Light blue sky，cyberpunk light effect，cherry blossoms,lake, cloud, WLOP,Fairy tale,Dream，expansive view，by Greg Rutkowski and James Gurney,vary，4K，artstation.",,,
19,早晨的玫瑰花园,史诗CG哑光绘画，广阔的视野，早晨，天空，玫瑰花园，云，雾，艺术站，高清图片，虚幻引擎，高清图片。,"An epic CG matte painting,expansive view, Morning, sky, rose garden, clouds, mist,artstation, high-definition picture, Unreal Engine, high-definition picture.",,,
20,岛上樱花,"一幅美丽的画，广阔的视野，在岛上，樱花，莲花，巨大的波浪，蘑菇，早晨，光效果，清晨，夏天，虚幻引擎，Beeple,Ayu，艺术站","A beautiful painting,Expansive view,In island,Cherry blossomo,Lotus,Huge waves,Mushrooms,Morning,Light effect,Early morning,Summer,Unreal engine,Beeple,Ayu,artstation",,,
21,玫瑰长城,"史诗cg哑光绘画，微距拍摄，在花园，多云，红玫瑰，桃花，长城，星夜，清晨，机械，清理，虚幻引擎，Lee madgwick ,Lee madgwick ,艺术站","An epic cg matte painting,Macro shot,In garden,Cloudy,Red rose,Peach blossoms,Great Wall,Starry night,Early morning,Mechanical,Clearing,Unreal engine,Lee madgwick ,Lee madgwick ,artstation",,,
22,"不祥天空
红玫瑰",一个真正的摄影山水画，广阔的视野，不祥的天空，红玫瑰，明亮的风格，光效果，清除，清除，虚幻引擎，托马斯金凯德，艺术站,"A real photographic landscape painting,Expansive view,Ominous sky,Red rose,Bright style,Light effect,Clearing,Clearing,Unreal engine,Thomas kinkade,artstation",,,
23,玫瑰花园,一个美丽的红玫瑰花园，星夜，宁静的风景，沉默，由beeple，杉本博司，艺术站,"A beautiful red rose garden, starry night，serene landscape, silcence, by beeple，Hiroshi Sugimoto，artstation",,,
24,玫瑰教堂1,清晨，金色的玫瑰在天空中盛开，粉红色的云在空中漂浮，地面上有一座教堂，Ivan Aivazovsky的超现实主义作品，大体量照明，在艺术网站Trending,"Golden roses were blooming in the sky at dawn, pink clouds were floating, and there was a church on the ground,ultra-realistic,by Ivan Aivazovsky ,in volumetric lighting, Trending on artstation",,,
25,玫瑰教堂2,黎明时分，粉红色的玫瑰在天空中盛开，粉红色的云漂浮着，很多小粉红玫瑰，地面上有一个金色的教堂，超逼真的，在体积照明中，上面+超广角，Thomas Kinkade，在artstation上的趋势，4k,"pink roses were blooming in the sky at dawn, pink clouds were floating,lots of little pink roses, and there was a golden church on the ground,ultra-realistic ,in volumetric lighting, above+super wide Angle, Thomas Kinkade,Trending on artstation,4k",,,
27,玫瑰城堡1,在晨曦中，湖边有一座城堡。玫瑰花园充满了玫瑰，周围是云雾，它是浪漫和梦幻的，超大的场景，托马斯金凯德，超广角，高清画面，细节，在艺术工作站渲染,"In the morning light, there is a castle by the lake. The rose garden is full of roses,surrounded by clouds and mist, It is romantic and dreamy ,super large scene,Thomas Kincaid,ultra wide Angle,high-definition picture,detailed,rendered in artstation",,,
28,玫瑰城堡2,"远处有一座城堡，笼罩在云中，城堡上长着粉红色的玫瑰，草地上覆盖着粉红色的玫瑰，俯瞰超宽的角度，Thomas Kinkade,Trending on artstation","There is a castle in the distance, shrouded in clouds, long pink roses on the castle, the grass is covered with pink roses, overlooking the super wide Angle, Thomas Kinkade,Trending on artstation",,,
29,玫瑰城堡3,"远处有一座城堡，笼罩在云中，城堡上长着粉色的玫瑰，草地上覆盖着粉色的玫瑰，上面+超广角，Thomas Kinkade, artstation上的趋势","There is a castle in the distance, shrouded in clouds, long pink roses on the castle, the grass is covered with pink roses, above+super wide Angle, Thomas Kinkade,Trending on artstation",,,
30,"玫瑰花园
包围
水晶宫殿",在黎明，天空中有一座由水晶制成的宫殿，反射和笼罩在雾中，被玫瑰花园包围，由AKA Beeple和Thomas Kinkada，灯光效果，艺术工作站，高清图像，虚幻引擎。,"expansive view,At dawn, there was a palace made of crystal in the sky, reflecting and shrouded in mist, surrounded by rose gardens,by AKA Beeple and Thomas Kinkada,light effect, artstation, high-definition picture, Unreal Engine.",,,
31,玫瑰冰城堡,在冬天，有一座冰城堡，冰玫瑰生长在城堡的脚下，托马斯金凯德，艺术站。,"expansive view, In winter, there was an ice castle,Icy roses grew at the foot of the castle,by Thomas kinkade,artstation.",,,
